Groups,model,RMSD,RMSD_rank,DI,DI_rank,INF_all,INF_all_rank,INF_wc,INF_wc_rank,INF_nwc,INF_nwc_rank,INF_stack,INF_stack_rank,clash,clash_rank,MCQ,MCQ_rank,TM,TM_rank,GDT,GDT_rank,p-value,solution,PZ,RMSD_minus,complete_name
RNAComposer,4,5.786,54,7.038,55,0.822,52,0.955,48,0.577,48,0.778,52,9.96,50,20.21,33,0.189,5,0.0,1,0.0,0,PZ27tRNA,-5.786,PZ27tRNA_RNAComposer_4
RNAComposer,3,5.943,55,7.069,56,0.841,50,0.955,48,0.816,31,0.796,51,9.96,50,20.129,32,0.175,18,0.0,1,0.0,0,PZ27tRNA,-5.943,PZ27tRNA_RNAComposer_3
Bujnicki,4,6.271,56,7.012,54,0.894,2,0.978,2,0.775,33,0.871,3,0.0,1,21.229,38,0.176,12,0.0,1,0.0,0,PZ27tRNA,-6.271,PZ27tRNA_Bujnicki_4
RNAComposer,5,6.357,57,7.561,57,0.841,50,0.955,48,-1.0,53,0.818,46,8.71,47,21.589,40,0.166,24,0.0,1,0.0,0,PZ27tRNA,-6.357,PZ27tRNA_RNAComposer_5
SimRNA,2,22.455,58,40.535,58,0.554,60,0.473,60,-1.0,53,0.598,60,139.59,65,26.429,56,0.134,66,0.0,1,0.08895,0,PZ27tRNA,-22.455,PZ27tRNA_SimRNA_2
SimRNA,5,22.994,59,44.085,59,0.522,65,0.492,59,-1.0,53,0.548,66,136.29,64,29.203,66,0.117,67,0.0,1,0.1474,0,PZ27tRNA,-22.994,PZ27tRNA_SimRNA_5
iFoldRNA,5,26.445,60,48.457,60,0.546,61,0.456,63,0.0,51,0.598,60,109.63,60,29.998,67,0.145,59,0.0,1,0.8077,0,PZ27tRNA,-26.445,PZ27tRNA_iFoldRNA_5
SimRNA,4,26.631,61,49.047,61,0.543,62,0.386,66,-1.0,53,0.61,59,101.12,58,26.913,57,0.174,19,0.0,1,0.8347,0,PZ27tRNA,-26.631,PZ27tRNA_SimRNA_4
iFoldRNA,3,27.969,62,55.243,65,0.506,66,0.369,67,-1.0,53,0.566,65,140.61,66,27.676,59,0.144,61,0.0,1,0.9569,0,PZ27tRNA,-27.969,PZ27tRNA_iFoldRNA_3
SimRNA,3,28.554,63,49.462,62,0.577,58,0.473,60,0.0,51,0.636,58,127.17,62,25.501,54,0.15,55,0.0,1,0.9794,0,PZ27tRNA,-28.554,PZ27tRNA_SimRNA_3
iFoldRNA,4,29.267,64,54.597,64,0.536,63,0.44,64,-1.0,53,0.585,63,127.85,63,27.09,58,0.161,31,0.0,1,0.9926,0,PZ27tRNA,-29.267,PZ27tRNA_iFoldRNA_4
SimRNA,1,29.635,65,52.75,63,0.562,59,0.532,58,-1.0,53,0.589,62,117.18,61,26.155,55,0.142,63,0.0,1,0.9959,0,PZ27tRNA,-29.635,PZ27tRNA_SimRNA_1
iFoldRNA,2,29.786,66,60.983,67,0.488,67,0.465,62,-1.0,53,0.511,67,175.74,67,27.777,60,0.14,64,0.0,1,0.9968,0,PZ27tRNA,-29.786,PZ27tRNA_iFoldRNA_2
iFoldRNA,1,31.993,67,59.866,66,0.534,64,0.44,64,-1.0,53,0.583,64,106.64,59,23.99,52,0.135,65,0.0,1,1.0,0,PZ27tRNA,-31.993,PZ27tRNA_iFoldRNA_1
TFN,3,14.504,1,17.145,1,0.846,4,0.936,14,0.707,21,0.82,4,11.84,39,19.131,11,0.695,7,0.0,1,0.0,0,PZ28,-14.504,PZ28_TFN_3
Adamiak,2,18.172,2,23.364,2,0.778,46,0.936,14,0.544,50,0.722,46,11.67,37,24.773,38,0.45,57,0.0,1,0.0,0,PZ28,-18.172,PZ28_Adamiak_2
RNAComposer,1,19.63,3,24.152,3,0.813,29,0.955,2,0.707,21,0.758,33,8.49,11,22.476,33,0.512,54,0.0,1,0.0,0,PZ28,-19.63,PZ28_RNAComposer_1
Bujnicki,4,20.05,4,27.568,5,0.727,54,0.839,54,0.68,36,0.684,50,18.56,60,26.2,50,0.658,39,0.0,1,0.0,0,PZ28,-20.05,PZ28_Bujnicki_4
RNAComposer,5,21.474,5,28.591,7,0.751,48,0.946,6,0.385,54,0.682,52,12.55,45,27.324,58,0.396,60,0.0,1,0.0,0,PZ28,-21.474,PZ28_RNAComposer_5
SimRNA,2,22.17,6,34.036,11,0.651,64,0.761,67,0.0,58,0.628,63,138.36,67,26.533,52,0.281,66,0.0,1,0.0,0,PZ28,-22.17,PZ28_SimRNA_2
FARFAR2,3,22.173,7,26.843,4,0.826,21,0.927,30,0.707,21,0.793,21,10.78,30,19.261,16,0.678,14,0.0,1,0.0,0,PZ28,-22.173,PZ28_FARFAR2_3
iFoldRNA,4,22.39,8,34.088,12,0.657,63,0.764,66,-1.0,69,0.633,62,155.97,71,27.622,61,0.295,64,0.0,1,0.0,0,PZ28,-22.39,PZ28_iFoldRNA_4
TFN,10,23.039,9,27.716,6,0.831,15,0.918,45,0.756,6,0.802,16,10.78,30,19.077,8,0.671,19,0.0,1,0.0,0,PZ28,-23.039,PZ28_TFN_10
Adamiak,3,23.589,10,29.913,8,0.789,43,0.946,6,0.63,48,0.729,44,8.66,12,23.352,35,0.427,58,0.0,1,0.0,0,PZ28,-23.589,PZ28_Adamiak_3
RNAComposer,4,24.603,11,33.397,10,0.737,51,0.946,6,0.385,54,0.663,58,10.25,25,25.214,43,0.534,53,0.0,1,0.0,0,PZ28,-24.603,PZ28_RNAComposer_4
TFN,1,25.154,12,31.089,9,0.809,34,0.918,45,0.756,6,0.77,30,13.62,56,19.998,29,0.681,13,0.0,1,0.0,0,PZ28,-25.154,PZ28_TFN_1
RNAComposer,3,26.826,13,36.203,21,0.741,50,0.936,14,0.5,52,0.668,54,11.49,35,25.058,40,0.639,41,0.0,1,1.588e-14,0,PZ28,-26.826,PZ28_RNAComposer_3
Bujnicki,3,27.481,14,37.051,23,0.742,49,0.852,53,0.745,20,0.699,48,12.55,45,26.066,48,0.662,35,0.0,1,2.469e-13,0,PZ28,-27.481,PZ28_Bujnicki_3
SimRNA,1,27.809,15,40.883,39,0.68,58,0.814,58,0.0,58,0.652,59,145.66,69,27.19,57,0.252,67,0.0,1,9.281e-13,0,PZ28,-27.809,PZ28_SimRNA_1
SimRNA,4,28.145,16,41.347,42,0.681,57,0.768,65,-1.0,69,0.667,55,152.16,70,26.992,55,0.212,71,0.0,1,3.497e-12,0,PZ28,-28.145,PZ28_SimRNA_4
RNAComposer,2,28.174,17,35.008,15,0.805,35,0.946,6,0.544,50,0.758,33,9.72,21,22.134,32,0.597,52,0.0,1,3.906e-12,0,PZ28,-28.174,PZ28_RNAComposer_2
Bujnicki,5,28.281,18,38.642,33,0.732,52,0.857,52,0.68,36,0.684,50,36.59,62,25.131,42,0.659,38,0.0,1,5.917e-12,0,PZ28,-28.281,PZ28_Bujnicki_5
iFoldRNA,3,28.287,19,44.259,52,0.639,67,0.775,63,0.0,58,0.611,67,170.09,72,25.377,45,0.306,63,0.0,1,6.053e-12,0,PZ28,-28.287,PZ28_iFoldRNA_3
Adamiak,5,28.66,20,36.422,22,0.787,44,0.955,2,0.298,56,0.741,38,8.31,10,21.43,31,0.455,55,0.0,1,2.486e-11,0,PZ28,-28.66,PZ28_Adamiak_5
Das,10,28.84,21,34.193,13,0.843,6,0.936,14,0.756,6,0.812,7,13.43,53,19.144,13,0.669,22,0.0,1,4.841e-11,0,PZ28,-28.84,PZ28_Das_10
FARFAR2,8,28.84,21,34.193,13,0.843,6,0.936,14,0.756,6,0.812,7,13.43,53,19.144,13,0.669,22,0.0,1,4.841e-11,0,PZ28,-28.84,PZ28_FARFAR2_8
SimRNA,5,29.1,23,45.381,54,0.641,65,0.794,61,0.0,58,0.611,67,142.98,68,25.493,46,0.178,72,0.0,1,1.244e-10,0,PZ28,-29.1,PZ28_SimRNA_5
TFN,9,29.104,24,35.012,16,0.831,15,0.927,30,0.667,41,0.803,15,9.37,18,19.702,25,0.684,10,0.0,1,1.266e-10,0,PZ28,-29.104,PZ28_TFN_9
Xiao,2,29.403,25,53.803,67,0.547,72,0.461,71,0.0,58,0.6,70,13.1,51,30.421,72,0.666,24,0.0,1,3.659e-10,0,PZ28,-29.403,PZ28_Xiao_2
Bujnicki,2,29.444,26,41.139,40,0.716,56,0.826,57,0.68,36,0.674,53,9.9,22,24.94,39,0.657,40,0.0,1,4.226e-10,0,PZ28,-29.444,PZ28_Bujnicki_2
FARFAR2,1,29.825,27,35.466,19,0.841,9,0.936,14,0.707,21,0.812,7,10.96,32,18.977,4,0.703,3,0.0,1,1.565e-09,0,PZ28,-29.825,PZ28_FARFAR2_1
FARFAR2,10,29.97,28,35.621,20,0.841,9,0.936,14,0.756,6,0.809,11,12.9,50,19.187,15,0.671,19,0.0,1,2.542e-09,0,PZ28,-29.97,PZ28_FARFAR2_10
TFN,5,30.069,29,35.459,17,0.848,3,0.927,30,0.707,21,0.825,1,12.2,41,19.737,26,0.67,21,0.0,1,3.541e-09,0,PZ28,-30.069,PZ28_TFN_5
FARFAR2,2,30.223,30,35.464,18,0.852,1,0.936,14,0.756,6,0.825,1,11.49,35,19.136,12,0.702,4,0.0,1,5.856e-09,0,PZ28,-30.223,PZ28_FARFAR2_2
TFN,7,30.518,31,37.299,27,0.818,24,0.908,48,0.667,41,0.793,21,13.79,57,20.061,30,0.662,35,0.0,1,1.514e-08,0,PZ28,-30.518,PZ28_TFN_7
Das,1,30.827,32,37.085,24,0.831,15,0.927,30,0.707,21,0.8,17,9.9,22,19.049,7,0.685,9,0.0,1,3.978e-08,0,PZ28,-30.827,PZ28_Das_1
Adamiak,1,30.967,33,38.577,32,0.803,36,0.946,6,0.63,48,0.75,36,9.9,22,23.793,37,0.452,56,0.0,1,6.11e-08,0,PZ28,-30.967,PZ28_Adamiak_1
Das,8,30.971,34,37.896,30,0.817,25,0.927,30,0.756,6,0.776,28,13.43,53,19.426,19,0.699,6,0.0,1,6.182e-08,0,PZ28,-30.971,PZ28_Das_8
Adamiak,4,31.022,35,39.251,36,0.79,42,0.927,30,0.667,41,0.739,39,9.55,19,23.576,36,0.419,59,0.0,1,7.215e-08,0,PZ28,-31.022,PZ28_Adamiak_4
Das,7,31.224,36,37.573,29,0.831,15,0.936,14,0.707,21,0.798,18,9.19,15,19.018,6,0.707,1,0.0,1,1.32e-07,0,PZ28,-31.224,PZ28_Das_7
TFN,6,31.364,37,37.241,26,0.842,8,0.927,30,0.756,6,0.814,6,11.67,37,18.684,1,0.661,37,0.0,1,1.99e-07,0,PZ28,-31.364,PZ28_TFN_6
Das,4,31.44,38,37.556,28,0.837,12,0.927,30,0.707,21,0.809,11,10.61,28,19.477,21,0.683,12,0.0,1,2.487e-07,0,PZ28,-31.44,PZ28_Das_4
Das,3,31.447,39,37.211,25,0.845,5,0.936,14,0.707,21,0.818,5,12.73,48,19.354,18,0.684,10,0.0,1,2.534e-07,0,PZ28,-31.447,PZ28_Das_3
iFoldRNA,2,31.629,40,47.185,59,0.67,61,0.802,60,0.192,57,0.642,60,129.57,64,26.315,51,0.286,65,0.0,1,4.268e-07,0,PZ28,-31.629,PZ28_iFoldRNA_2
Xiao,3,31.67,41,55.738,69,0.568,70,0.497,70,-1.0,69,0.614,66,12.38,44,29.055,68,0.666,24,0.0,1,4.806e-07,0,PZ28,-31.67,PZ28_Xiao_3
Das,6,31.703,42,38.792,34,0.817,25,0.927,30,0.707,21,0.779,25,10.43,26,19.553,23,0.664,33,0.0,1,5.271e-07,0,PZ28,-31.703,PZ28_Das_6
TFN,4,31.913,43,39.102,35,0.816,27,0.909,47,0.756,6,0.783,24,12.73,48,19.869,27,0.674,17,0.0,1,9.462e-07,0,PZ28,-31.913,PZ28_TFN_4
Xiao,5,32.122,44,47.326,61,0.679,59,0.782,62,0.0,58,0.667,55,18.39,59,26.18,49,0.666,24,0.0,1,1.673e-06,0,PZ28,-32.122,PZ28_Xiao_5
Xiao,4,32.314,45,56.693,71,0.57,69,0.565,69,0.0,58,0.595,71,15.74,58,29.71,71,0.666,24,0.0,1,2.784e-06,0,PZ28,-32.314,PZ28_Xiao_4
Xiao,1,32.582,46,58.922,72,0.553,71,0.461,71,0.0,58,0.609,69,21.07,61,27.378,59,0.666,24,0.0,1,5.584e-06,0,PZ28,-32.582,PZ28_Xiao_1
Das,5,32.634,47,38.294,31,0.852,1,0.936,14,0.756,6,0.825,1,10.43,26,18.902,2,0.704,2,0.0,1,6.377e-06,0,PZ28,-32.634,PZ28_Das_5
SimRNA,3,32.679,48,49.647,64,0.658,62,0.804,59,0.0,58,0.624,64,136.53,66,27.13,56,0.249,68,0.0,1,7.152e-06,0,PZ28,-32.679,PZ28_SimRNA_3
Chen,6,32.774,49,41.652,44,0.787,44,0.897,49,0.825,1,0.737,40,4.24,3,28.716,63,0.618,46,0.0,1,9.092e-06,0,PZ28,-32.774,PZ28_Chen_6
TFN,8,33.061,50,39.971,38,0.827,20,0.927,30,0.707,21,0.794,20,12.02,40,19.649,24,0.666,24,0.0,1,1.84e-05,0,PZ28,-33.061,PZ28_TFN_8
Das,9,33.132,51,39.857,37,0.831,15,0.936,14,0.707,21,0.797,19,12.55,45,19.349,17,0.666,24,0.0,1,2.179e-05,0,PZ28,-33.132,PZ28_Das_9
Chen,5,33.895,52,42.605,47,0.796,40,0.945,11,0.756,6,0.732,43,2.65,1,29.559,70,0.612,50,0.0,1,0.0001244,0,PZ28,-33.895,PZ28_Chen_5
FARFAR2,4,33.951,53,41.148,41,0.825,22,0.936,14,0.667,41,0.792,23,11.14,33,18.992,5,0.686,8,0.0,1,0.0001402,0,PZ28,-33.951,PZ28_FARFAR2_4
Bujnicki,1,34.001,54,46.482,55,0.731,53,0.832,55,0.68,36,0.694,49,9.55,19,25.09,41,0.664,33,0.0,1,0.0001564,0,PZ28,-34.001,PZ28_Bujnicki_1
iFoldRNA,1,34.225,55,53.406,66,0.641,65,0.702,68,0.0,58,0.639,61,118.19,63,26.033,47,0.221,70,0.0,1,0.0002505,0,PZ28,-34.225,PZ28_iFoldRNA_1
Ding,1,34.347,56,50.921,65,0.675,60,0.829,56,0.471,53,0.615,65,11.14,33,25.231,44,0.379,61,0.0,1,0.0003216,0,PZ28,-34.347,PZ28_Ding_1
Chen,4,34.352,57,42.101,46,0.816,27,0.964,1,0.825,1,0.749,37,2.65,1,29.072,69,0.617,48,0.0,1,0.0003255,0,PZ28,-34.352,PZ28_Chen_4
FARFAR2,7,34.563,58,41.389,43,0.835,14,0.919,44,0.707,21,0.809,11,9.02,14,19.483,22,0.678,14,0.0,1,0.0004968,0,PZ28,-34.563,PZ28_FARFAR2_7
FARFAR2,9,34.976,59,43.014,49,0.813,29,0.936,14,0.632,47,0.776,28,13.26,52,19.896,28,0.673,18,0.0,1,0.001096,0,PZ28,-34.976,PZ28_FARFAR2_9
FARFAR2,5,35.17,60,41.95,45,0.838,11,0.936,14,0.756,6,0.805,14,10.61,28,19.429,20,0.677,16,0.0,1,0.001563,0,PZ28,-35.17,PZ28_FARFAR2_5
Chen,3,35.238,61,44.342,53,0.795,41,0.945,11,0.707,21,0.734,42,7.25,9,28.746,64,0.631,42,0.0,1,0.001764,0,PZ28,-35.238,PZ28_Chen_3
Das,2,35.367,62,43.497,50,0.813,29,0.927,30,0.667,41,0.777,26,9.19,15,19.116,9,0.666,24,0.0,1,0.002214,0,PZ28,-35.367,PZ28_Das_2
FARFAR2,6,35.367,62,43.497,50,0.813,29,0.927,30,0.667,41,0.777,26,9.19,15,19.116,9,0.666,24,0.0,1,0.002214,0,PZ28,-35.367,PZ28_FARFAR2_6
iFoldRNA,5,35.513,64,56.507,70,0.628,68,0.775,63,0.0,58,0.594,72,131.84,65,26.629,53,0.249,68,0.0,1,0.002847,0,PZ28,-35.513,PZ28_iFoldRNA_5
TFN,2,35.992,65,43.007,48,0.837,12,0.927,30,0.707,21,0.81,10,12.2,41,18.902,2,0.702,4,0.0,1,0.006237,0,PZ28,-35.992,PZ28_TFN_2
Chen,10,37.057,66,46.49,56,0.797,38,0.945,11,0.756,6,0.737,40,5.48,6,28.316,62,0.618,46,0.0,1,0.02827,0,PZ28,-37.057,PZ28_Chen_10
Chen,9,37.786,67,47.309,60,0.799,37,0.954,4,0.825,1,0.727,45,4.24,3,26.974,54,0.63,43,0.0,1,0.06653,0,PZ28,-37.786,PZ28_Chen_9
Chen,7,37.986,68,46.832,57,0.811,33,0.926,43,0.825,1,0.76,31,5.3,5,28.788,65,0.628,44,0.0,1,0.08217,0,PZ28,-37.986,PZ28_Chen_7
Chen,1,38.39,69,49.438,63,0.777,47,0.935,29,0.68,36,0.712,47,8.66,12,29.043,67,0.616,49,0.0,1,0.1218,0,PZ28,-38.39,PZ28_Chen_1
Chen,2,38.575,70,47.062,58,0.82,23,0.954,4,0.825,1,0.759,32,6.01,8,27.53,60,0.623,45,0.0,1,0.1437,0,PZ28,-38.575,PZ28_Chen_2
Chen,8,39.147,71,49.115,62,0.797,38,0.897,49,0.756,6,0.758,33,5.83,7,29.033,66,0.61,51,0.0,1,0.2278,0,PZ28,-39.147,PZ28_Chen_8
Ding,2,39.456,72,55.068,68,0.717,55,0.881,51,-1.0,69,0.667,55,12.2,41,23.277,34,0.357,62,0.0,1,0.283,0,PZ28,-39.456,PZ28_Ding_2
TFN,3,5.026,1,5.897,1,0.852,6,0.933,1,0.289,31,0.847,3,5.04,32,17.592,8,0.26,15,0.0,1,0.0,0,PZ28tBox,-5.026,PZ28tBox_TFN_3
FARFAR2,3,5.994,2,7.046,2,0.851,7,0.933,1,0.289,31,0.844,4,4.41,27,17.699,9,0.252,20,0.0,1,0.0,0,PZ28tBox,-5.994,PZ28tBox_FARFAR2_3
Adamiak,2,6.824,3,8.423,3,0.81,30,0.932,30,0.5,11,0.778,32,10.39,58,23.705,37,0.264,11,0.0,1,0.0,0,PZ28tBox,-6.824,PZ28tBox_Adamiak_2
Das,3,10.49,4,12.463,4,0.842,12,0.933,1,0.289,31,0.831,12,7.24,44,18.153,17,0.26,15,0.0,1,0.0,0,PZ28tBox,-10.49,PZ28tBox_Das_3
Das,1,10.795,5,12.989,5,0.831,21,0.918,36,0.289,31,0.821,18,4.09,24,17.89,14,0.227,54,0.0,1,0.0,0,PZ28tBox,-10.795,PZ28tBox_Das_1
Das,5,11.403,6,13.344,6,0.855,2,0.933,1,0.354,17,0.844,4,4.09,24,17.753,10,0.229,50,0.0,1,0.0,0,PZ28tBox,-11.403,PZ28tBox_Das_5
TFN,6,12.679,7,14.928,7,0.849,10,0.933,1,0.354,17,0.837,10,5.67,35,16.904,2,0.243,28,0.0,1,0.0,0,PZ28tBox,-12.679,PZ28tBox_TFN_6
RNAComposer,1,13.208,8,16.086,8,0.821,25,0.933,1,0.5,11,0.792,28,6.92,41,22.585,32,0.264,11,0.0,1,0.0,0,PZ28tBox,-13.208,PZ28tBox_RNAComposer_1
TFN,4,13.56,9,16.423,11,0.826,24,0.918,36,0.354,17,0.808,23,6.61,39,18.976,28,0.246,24,0.0,1,0.0,0,PZ28tBox,-13.56,PZ28tBox_TFN_4
Das,2,13.646,10,16.315,9,0.836,14,0.933,1,0.289,31,0.824,13,3.46,14,17.263,3,0.235,47,0.0,1,0.0,0,PZ28tBox,-13.646,PZ28tBox_Das_2
FARFAR2,6,13.646,10,16.315,9,0.836,14,0.933,1,0.289,31,0.824,13,3.46,14,17.263,3,0.235,47,0.0,1,0.0,0,PZ28tBox,-13.646,PZ28tBox_FARFAR2_6
TFN,5,14.172,12,16.658,12,0.851,7,0.933,1,0.289,31,0.844,4,5.35,33,18.415,24,0.245,26,0.0,1,5.551e-17,0,PZ28tBox,-14.172,PZ28tBox_TFN_5
Das,6,15.312,13,18.918,17,0.809,31,0.933,1,0.289,31,0.784,30,4.72,29,18.484,26,0.241,32,0.0,1,5.163e-15,0,PZ28tBox,-15.312,PZ28tBox_Das_6
FARFAR2,5,15.647,14,18.863,15,0.83,23,0.933,1,0.354,17,0.808,23,3.46,14,17.916,15,0.3,1,0.0,1,2.187e-14,0,PZ28tBox,-15.647,PZ28tBox_FARFAR2_5
Das,10,15.943,15,18.656,13,0.855,2,0.933,1,0.354,17,0.844,4,3.46,14,17.761,11,0.238,36,0.0,1,7.649e-14,0,PZ28tBox,-15.943,PZ28tBox_Das_10
FARFAR2,8,15.943,15,18.656,13,0.855,2,0.933,1,0.354,17,0.844,4,3.46,14,17.761,11,0.238,36,0.0,1,7.649e-14,0,PZ28tBox,-15.943,PZ28tBox_FARFAR2_8
Adamiak,5,16.087,17,20.44,21,0.787,36,0.933,1,0.0,49,0.765,34,8.5,50,23.333,34,0.238,36,0.0,1,1.391e-13,0,PZ28tBox,-16.087,PZ28tBox_Adamiak_5
SimRNA,5,16.196,18,22.737,26,0.712,52,0.814,56,0.0,49,0.698,42,148.98,69,24.546,39,0.247,23,0.0,1,2.176e-13,0,PZ28tBox,-16.196,PZ28tBox_SimRNA_5
FARFAR2,2,16.23,19,18.877,16,0.86,1,0.933,1,0.354,17,0.852,1,4.09,24,18.432,25,0.243,28,0.0,1,2.504e-13,0,PZ28tBox,-16.23,PZ28tBox_FARFAR2_2
Ding,2,16.392,20,24.838,35,0.66,64,0.794,59,-1.0,64,0.621,65,14.79,61,22.832,33,0.198,71,0.0,1,4.823e-13,0,PZ28tBox,-16.392,PZ28tBox_Ding_2
TFN,7,16.549,21,19.822,18,0.835,17,0.933,1,0.289,31,0.821,18,7.24,44,19.145,29,0.246,24,0.0,1,9.058e-13,0,PZ28tBox,-16.549,PZ28tBox_TFN_7
FARFAR2,4,16.692,22,20.358,19,0.82,26,0.933,1,0.289,31,0.8,26,3.78,20,17.838,13,0.241,32,0.0,1,1.603e-12,0,PZ28tBox,-16.692,PZ28tBox_FARFAR2_4
RNAComposer,5,16.826,23,24.315,34,0.692,56,0.915,42,0.354,17,0.607,66,9.13,52,27.923,59,0.242,31,0.0,1,2.708e-12,0,PZ28tBox,-16.826,PZ28tBox_RNAComposer_5
TFN,8,17.007,24,20.425,20,0.833,19,0.933,1,0.289,31,0.818,22,4.72,29,18.277,20,0.24,34,0.0,1,5.458e-12,0,PZ28tBox,-17.007,PZ28tBox_TFN_8
Adamiak,3,17.328,25,21.211,23,0.817,29,0.932,30,0.5,11,0.788,29,6.92,41,23.408,35,0.278,7,0.0,1,1.851e-11,0,PZ28tBox,-17.328,PZ28tBox_Adamiak_3
Bujnicki,2,17.382,26,25.835,38,0.673,60,0.8,58,0.0,49,0.645,59,7.87,49,24.714,40,0.258,17,0.0,1,2.273e-11,0,PZ28tBox,-17.382,PZ28tBox_Bujnicki_2
iFoldRNA,5,17.547,27,28.787,49,0.61,68,0.725,65,0.0,49,0.584,68,141.37,66,26.629,47,0.207,67,0.0,1,4.193e-11,0,PZ28tBox,-17.547,PZ28tBox_iFoldRNA_5
TFN,9,17.554,28,20.798,22,0.844,11,0.933,1,0.289,31,0.834,11,2.83,12,18.318,21,0.237,40,0.0,1,4.296e-11,0,PZ28tBox,-17.554,PZ28tBox_TFN_9
Das,7,17.922,29,21.857,24,0.82,26,0.933,1,0.289,31,0.8,26,2.83,12,17.951,16,0.281,6,0.0,1,1.633e-10,0,PZ28tBox,-17.922,PZ28tBox_Das_7
Ding,1,18.143,30,29.6,51,0.613,67,0.69,67,-1.0,64,0.596,67,11.33,59,25.595,44,0.203,68,0.0,1,3.584e-10,0,PZ28tBox,-18.143,PZ28tBox_Ding_1
FARFAR2,7,18.318,31,21.999,25,0.833,19,0.918,36,0.289,31,0.824,13,2.52,7,18.346,23,0.266,9,0.0,1,6.577e-10,0,PZ28tBox,-18.318,PZ28tBox_FARFAR2_7
iFoldRNA,4,18.5,32,27.609,42,0.67,61,0.7,66,-1.0,64,0.676,47,166.72,72,27.153,53,0.237,40,0.0,1,1.231e-09,0,PZ28tBox,-18.5,PZ28tBox_iFoldRNA_4
Das,8,19.188,33,23.767,30,0.807,32,0.918,36,0.354,17,0.781,31,7.24,44,18.165,18,0.228,52,0.0,1,1.189e-08,0,PZ28tBox,-19.188,PZ28tBox_Das_8
SimRNA,3,19.274,34,28.513,46,0.676,59,0.807,57,0.0,49,0.649,58,133.84,65,27.13,52,0.243,28,0.0,1,1.561e-08,0,PZ28tBox,-19.274,PZ28tBox_SimRNA_3
Bujnicki,1,19.309,35,27.484,40,0.703,54,0.826,55,0.0,49,0.676,47,13.53,60,25.138,43,0.244,27,0.0,1,1.746e-08,0,PZ28tBox,-19.309,PZ28tBox_Bujnicki_1
iFoldRNA,3,19.499,36,30.677,54,0.636,66,0.733,64,0.0,49,0.622,64,155.79,71,27.765,58,0.202,69,0.0,1,3.163e-08,0,PZ28tBox,-19.499,PZ28tBox_iFoldRNA_3
SimRNA,2,19.559,37,28.664,48,0.682,57,0.787,60,0.0,49,0.662,53,152.63,70,26.841,51,0.209,65,0.0,1,3.816e-08,0,PZ28tBox,-19.559,PZ28tBox_SimRNA_2
TFN,10,19.581,38,23.411,28,0.836,14,0.918,36,0.354,17,0.824,13,3.46,14,16.871,1,0.255,18,0.0,1,4.072e-08,0,PZ28tBox,-19.581,PZ28tBox_TFN_10
Das,4,19.588,39,22.922,27,0.855,2,0.933,1,0.289,31,0.85,2,5.35,33,18.334,22,0.222,58,0.0,1,4.172e-08,0,PZ28tBox,-19.588,PZ28tBox_Das_4
Bujnicki,4,19.59,40,27.984,45,0.7,55,0.839,53,0.0,49,0.667,50,6.92,41,26.003,45,0.225,55,0.0,1,4.188e-08,0,PZ28tBox,-19.59,PZ28tBox_Bujnicki_4
FARFAR2,9,19.634,41,23.996,31,0.818,28,0.933,1,0.25,48,0.803,25,4.41,27,18.885,27,0.272,8,0.0,1,4.798e-08,0,PZ28tBox,-19.634,PZ28tBox_FARFAR2_9
Das,9,19.735,42,23.488,29,0.84,13,0.933,1,0.354,17,0.824,13,5.67,35,17.552,7,0.29,3,0.0,1,6.52e-08,0,PZ28tBox,-19.735,PZ28tBox_Das_9
Adamiak,4,19.912,43,25.047,37,0.795,35,0.915,42,0.5,11,0.759,36,10.07,56,24.764,41,0.236,44,0.0,1,1.112e-07,0,PZ28tBox,-19.912,PZ28tBox_Adamiak_4
FARFAR2,1,20.105,44,24.098,33,0.834,18,0.933,1,0.289,31,0.821,18,3.78,20,17.323,5,0.292,2,0.0,1,1.961e-07,0,PZ28tBox,-20.105,PZ28tBox_FARFAR2_1
SimRNA,1,20.223,45,27.902,44,0.725,48,0.848,52,0.0,49,0.702,41,147.48,68,27.464,55,0.229,50,0.0,1,2.764e-07,0,PZ28tBox,-20.223,PZ28tBox_SimRNA_1
Bujnicki,3,20.266,46,27.613,43,0.734,47,0.863,50,-1.0,64,0.706,40,9.76,55,26.508,46,0.238,36,0.0,1,3.131e-07,0,PZ28tBox,-20.266,PZ28tBox_Bujnicki_3
Xiao,5,20.33,47,30.714,55,0.662,63,0.761,62,-1.0,64,0.644,62,0.94,2,26.779,49,0.233,49,0.0,1,3.754e-07,0,PZ28tBox,-20.33,PZ28tBox_Xiao_5
SimRNA,4,20.45,48,29.983,52,0.682,57,0.742,63,-1.0,64,0.676,47,123.94,64,27.444,54,0.222,58,0.0,1,5.278e-07,0,PZ28tBox,-20.45,PZ28tBox_SimRNA_4
FARFAR2,10,20.467,49,24.057,32,0.851,7,0.933,1,0.354,17,0.839,9,2.52,7,17.533,6,0.24,34,0.0,1,5.536e-07,0,PZ28tBox,-20.467,PZ28tBox_FARFAR2_10
TFN,2,20.757,50,24.989,36,0.831,21,0.918,36,0.289,31,0.821,18,4.72,29,18.202,19,0.236,44,0.0,1,1.238e-06,0,PZ28tBox,-20.757,PZ28tBox_TFN_2
